ordinal	original_name	original_url	final_url	http_status	disposition	source	params_json	api_url	job_count	evidence_or_error
21	Alpha-grep	https://www.alpha-grep.com/career/	https://www.alpha-grep.com/career/	200	validated_supported	greenhouse	"{""board_token"":""alphagrepsecurities""}"	https://boards-api.greenhouse.io/v1/boards/alphagrepsecurities/jobs?content=true	21	Job IDs on AlphaGrep first-party careers matched the exact Greenhouse board; API returned valid JSON with 21 jobs.
22	Alphonso	https://lgads.tv/careers/	https://lgads.tv/careers/	200	validated_supported	ashby	"{""board_name"":""lgads""}"	https://api.ashbyhq.com/posting-api/job-board/lgads	21	Alphonso redirects to LG Ads careers; exact LG Ads Ashby API returned valid JSON with 21 jobs (rebrand/acquisition mapping).
23	Amadeus labs	https://jobs.amadeus.com/	https://jobs.amadeus.com/	200	validated_supported	workday	"{""host"":""amadeus.wd502.myworkdayjobs.com"",""tenant"":""amadeus"",""site"":""jobs""}"	https://amadeus.wd502.myworkdayjobs.com/wday/cxs/amadeus/jobs/jobs	135	Current Amadeus job URLs use this exact Workday tenant/site; POST returned valid JSON and total=135.
24	Amagi	https://www.amagi.com/careers	https://www.amagi.com/careers	200	unsupported					Live Amagi first-party openings were inspected; no supported ATS public API identity was present.
25	AMD	https://careers.amd.com/careers-home	https://careers.amd.com/careers-home/jobs	200	unsupported					AMD uses iCIMS, which jobwatch does not support.
26	Amazon	https://www.amazon.jobs/en/	https://www.amazon.jobs/en/	200	unsupported					Amazon uses its proprietary jobs platform, which jobwatch does not support.
27	Amdocs	https://asset.amdocs.com/careers/home	https://asset.amdocs.com/careers/home	200	unsupported					Amdocs uses its own/custom careers platform; no supported ATS identity was present.
28	American express	https://www.americanexpress.com/en-us/careers/	https://www.americanexpress.com/en-us/careers/	200	unsupported					American Express uses Oracle Recruiting Cloud, which jobwatch does not support.
29	Amway	https://www.amway.in/about-amway/careers	https://www.amway.in/	200	manual_review					Amway careers URL redirects to the India homepage rather than an openings board; no supported ATS identity was established.
30	Angelone	https://www.angelone.in/careers	https://www.angelone.in/careers	200	unsupported					Angel One uses its own careers site; no supported ATS identity was present.
31	Analog Devices	https://www.analog.com/en/about-adi/careers.html	https://www.analog.com/en/about-adi/careers.html	000	validated_supported	workday	"{""host"":""analogdevices.wd1.myworkdayjobs.com"",""tenant"":""analogdevices"",""site"":""External""}"	https://analogdevices.wd1.myworkdayjobs.com/wday/cxs/analogdevices/External/jobs	976	Current Analog Devices job URLs use this exact Workday tenant/site; POST returned valid JSON and total=976.
32	Ansys	https://www.ansys.com/en-in/careers	https://www.ansys.com/en-in/careers	000	manual_review					Ansys careers endpoint failed HTTP/2 during fetch; Ansys is now part of Synopsys and no distinct validated supported board was established.
33	Apna	https://www.instahyre.com/jobs-at-apna/	https://www.instahyre.com/jobs-at-apna/	403	unsupported					Supplied Apna URL resolves to Instahyre, which jobwatch does not support.
34	App Dynamics	https://www.appdynamics.com/company/careers/india	https://www.splunk.com/en_us/appdynamics-joins-splunk.html?301=appdynamics	200	unsupported					AppDynamics careers redirects to a Splunk acquisition page; no distinct supported AppDynamics board exists.
35	Appen	https://appen.com/jobs/	https://www.appen.com/careers	200	validated_supported	lever	"{""site"":""appen-2""}"	https://api.lever.co/v0/postings/appen-2?mode=json	4	Appen careers page script declares account 'appen-2'; exact Lever API returned valid JSON with 4 jobs.
36	Appfolio	https://www.appfolio.com/company/careers	https://www.appfolio.com/company/careers	200	unsupported					Live AppFolio first-party careers site was inspected; no supported ATS board/API identity was present.
37	Apple	https://www.apple.com/careers/us/	https://www.apple.com/careers/us/	200	unsupported					Apple uses its proprietary jobs site, which jobwatch does not support.
38	AppInventiv	https://appinventiv.com/career/	https://appinventiv.com/career/	200	unsupported					AppInventiv uses a custom first-party careers site; no supported ATS identity was present.
39	Applied Materials	https://www.appliedmaterials.com/us/en/careers.html	https://www.appliedmaterials.com/us/en/careers.html	403	validated_supported	workday	"{""host"":""amat.wd1.myworkdayjobs.com"",""tenant"":""amat"",""site"":""External""}"	https://amat.wd1.myworkdayjobs.com/wday/cxs/amat/External/jobs	1831	Current Applied Materials job URLs use this exact Workday tenant/site; POST returned valid JSON and total=1831.
40	Aptiv	https://jobs.aptiv.com/	https://jobs.aptiv.com/	000	validated_supported	workday	"{""host"":""aptiv.wd5.myworkdayjobs.com"",""tenant"":""aptiv"",""site"":""APTIV_CAREERS""}"	https://aptiv.wd5.myworkdayjobs.com/wday/cxs/aptiv/APTIV_CAREERS/jobs	731	Current Aptiv job URLs use this exact Workday tenant/site; POST returned valid JSON and total=731.
41	AQR	https://www.aqr.com/About-Us/Careers	https://www.aqr.com/404	200	validated_supported	greenhouse	"{""board_token"":""aqr""}"	https://boards-api.greenhouse.io/v1/boards/aqr/jobs?content=true	46	Exact current AQR Greenhouse board/API returned valid JSON with 46 jobs; original supplied URL currently lands on AQR 404.
42	Arcesium	https://www.arcesium.com/careers.html	https://www.arcesium.com/careers.html	404	manual_review					Supplied Arcesium careers URL returned HTTP 404; the company site remains live but a supported ATS identity was not established.
43	Arista Networks	https://www.arista.com/en/careers	https://www.arista.com/en/careers	406	manual_review					Arista careers endpoint returned HTTP 406 and no exact supported ATS API identity could be validated.
44	Aryaka networks	https://www.linkedin.com/company/aryaka-networks/jobs?originalSubdomain=in	https://www.linkedin.com/company/aryaka-networks	200	unsupported					Supplied Aryaka URL is a LinkedIn company page, not a supported ATS board.
45	Asteria Aerospace Ltd	https://asteria.co.in/careers/	https://asteria.co.in/careers	200	unsupported					Asteria Aerospace uses a custom first-party careers page; no supported ATS public API was found.
46	ASML	https://www.asml.com/en/careers	https://www.asml.com/en/careers	200	manual_review	workday	"{""host"":""asml.wd3.myworkdayjobs.com"",""tenant"":""asml"",""site"":""ASMLBERLIN""}"	https://asml.wd3.myworkdayjobs.com/wday/cxs/asml/ASMLBERLIN/jobs	15	Exact ASML Berlin Workday API returned valid JSON and total=15, but this is a regional board and does not establish complete global ASML coverage.
47	Athena Health	https://www.athenahealth.com/careers	https://www.athenahealth.com/careers	403	validated_supported	workday	"{""host"":""athenahealth.wd1.myworkdayjobs.com"",""tenant"":""athenahealth"",""site"":""External""}"	https://athenahealth.wd1.myworkdayjobs.com/wday/cxs/athenahealth/External/jobs	19	Current athenahealth job URLs use this exact Workday tenant/site; POST returned valid JSON and total=19.
48	Atlan	https://atlan.com/careers/	https://atlan.com/careers/	200	validated_supported	ashby	"{""board_name"":""atlan""}"	https://api.ashbyhq.com/posting-api/job-board/atlan	4	Atlan careers permits Ashby and the exact Atlan Ashby API returned valid JSON with 4 jobs.
49	Atlassian	https://www.atlassian.com/company/careers	https://www.atlassian.com/company/careers	200	unsupported					Atlassian uses a proprietary/custom careers experience; no supported ATS API identity was found.
50	Automatic Data Processing	https://jobs.adp.com/	https://jobs.adp.com/	403	unsupported					ADP uses its own Recruiting Management platform; no supported ATS identity was present.
51	Auzmor	https://auzmor.com/careers/	https://auzmor.com/careers/	200	unsupported					Auzmor uses a custom first-party careers page; no supported ATS public API identity was found.
52	Avail finance	https://availfinance.in/opportunities/	https://availfinance.in/opportunities/	000	dead					Avail Finance host failed DNS resolution; no live replacement or validated supported ATS identity was found.
53	Avalara	https://www.avalara.com/us/en/about/jobs/job-openings.html	https://careers.avalara.com/careers-home/	200	unsupported					Avalara uses an unsupported careers stack (CareerPuck/Eightfold), not a jobwatch source.
54	Avaya	https://careers.avaya.com/	https://careers.avaya.com/	200	unsupported					Avaya uses SAP SuccessFactors, which jobwatch does not support.
55	Axis Bank	https://www.axisbank.com/careers	https://www.axis.bank.in/careers	200	unsupported					Axis Bank uses RippleHire, which jobwatch does not support.
56	Barclays	https://home.barclays/careers/	https://home.barclays/careers/	200	validated_supported	workday	"{""host"":""barclays.wd3.myworkdayjobs.com"",""tenant"":""barclays"",""site"":""External_Career_Site_Barclays""}"	https://barclays.wd3.myworkdayjobs.com/wday/cxs/barclays/External_Career_Site_Barclays/jobs	1117	Barclays careers linked this Workday board; POST returned valid JSON and total=1117.
57	Bain &amp; Co	https://www.bain.com/careers/	https://www.bain.com/careers/	200	unsupported					Bain uses a custom first-party careers platform; no supported ATS API identity was found.
58	BARC India	https://www.barcindia.co.in/life-at-barc	https://www.barcindia.co.in/life-at-barc	200	unsupported					BARC India uses static/PDF-first recruiting pages; no supported ATS API identity was found.
59	bankbazaar	https://www.bankbazaar.com/careers.html	https://www.bankbazaar.com/careers.html	200	unsupported					BankBazaar uses a static/custom careers page; no supported ATS public API was found.
60	Bazaarvoice	https://www.bazaarvoice.com/company/careers/	https://www.bazaarvoice.com/company/careers/	200	validated_supported	lever	"{""site"":""bazaarvoice""}"	https://api.lever.co/v0/postings/bazaarvoice?mode=json	26	Current Bazaarvoice Lever board/API returned valid JSON with 26 jobs.
61	BCG	https://careers.bcg.com/	https://careers.bcg.com/global/en/	200	unsupported					BCG uses Phenom, which jobwatch does not support.
62	Bellatrix Aerospace	http://www.bellatrixaerospace.com/	http://www.bellatrixaerospace.com/	000	dead					Bellatrix Aerospace host failed DNS resolution; no live replacement or validated supported ATS identity was found.
63	Benchmark	https://benchmarkit.zohorecruit.com/jobs/Careers	https://benchmarkit.zohorecruit.com/jobs/Careers	200	unsupported					Benchmark uses Zoho Recruit, which jobwatch does not support.
64	Better	https://better.com/about-us/careers	https://better.com/about-us/careers	200	validated_supported	ashby	"{""board_name"":""better-mortgage""}"	https://api.ashbyhq.com/posting-api/job-board/better-mortgage	10	Exact Better Mortgage Ashby board/API returned valid JSON with 10 jobs.
65	BharatPe	https://bharatpe.com/career	https://bharatpe.com/career	200	unsupported					BharatPe uses Darwinbox, which jobwatch does not support.
66	Bidgely	https://www.bidgely.com/bidgely-career-opportunities/	https://www.bidgely.com/bidgely-career-opportunities/	404	validated_supported	ashby	"{""board_name"":""bidgely-inc""}"	https://api.ashbyhq.com/posting-api/job-board/bidgely-inc	7	Bidgely careers embeds this Ashby board; exact API returned valid JSON with 7 jobs.
67	BigBasket	https://careers.bigbasket.com/	https://careers.bigbasket.com/	200	unsupported					BigBasket uses Darwinbox, which jobwatch does not support.
68	Billdesk	https://www.linkedin.com/company/billdesk/jobs/	https://in.linkedin.com/company/billdesk	200	unsupported					Supplied Billdesk URL is LinkedIn, not a supported ATS board.
69	bitdefender	https://www.bitdefender.com/company/job-opportunities/	https://www.bitdefender.com/en-us/company/careers	200	validated_supported	greenhouse	"{""board_token"":""scbitdefendersrl""}"	https://boards-api.greenhouse.io/v1/boards/scbitdefendersrl/jobs?content=true	18	Bitdefender careers exposed job_board=scbitdefendersrl; exact Greenhouse API returned valid JSON with 18 jobs.
70	bitly	https://bitly.com/pages/careers	https://bitly.com/pages/careers	200	validated_supported	greenhouse	"{""board_token"":""bitly""}"	https://boards-api.greenhouse.io/v1/boards/bitly/jobs?content=true	0	Bitly first-party Greenhouse loader hardcodes token 'bitly'; exact API returned valid JSON with 0 open jobs.
71	BlackBuck	https://www.blackbuck.com/careers.php	https://www.blackbuck.com/careers.php	502	manual_review					BlackBuck careers endpoint returned HTTP 502; no exact supported ATS API identity could be validated.
72	Blackrock	https://careers.blackrock.com/	https://careers.blackrock.com/	200	unsupported					BlackRock uses a custom/Beamery careers stack; no supported ATS identity was present.
73	blackberry	https://bb.wd3.myworkdayjobs.com/BlackBerry/jobs	https://bb.wd3.myworkdayjobs.com/BlackBerry/jobs	200	validated_supported	workday	"{""host"":""bb.wd3.myworkdayjobs.com"",""tenant"":""bb"",""site"":""BlackBerry""}"	https://bb.wd3.myworkdayjobs.com/wday/cxs/bb/BlackBerry/jobs	47	Supplied BlackBerry URL is the exact Workday board; POST returned valid JSON and total=47.
74	Blinkit	https://blinkit.com/careers	https://blinkit.com/careers	403	manual_review					Blinkit careers endpoint returned HTTP 403 and no exact supported ATS API identity could be validated.
75	Block Inc	https://block.xyz/careers	https://block.xyz/careers/jobs	200	duplicate	greenhouse	"{""board_token"":""block""}"	https://boards-api.greenhouse.io/v1/boards/block/jobs?content=true	206	Block's first-party page declares Greenhouse board 'block'; exact API returned 206 jobs, but jobwatch already has Square using the same token (covers Block/Square/Cash App).
76	Bloomberg LP	https://careers.bloomberg.com/job/search	https://www.bloomberg.com/company/what-we-do/	403	manual_review					Bloomberg careers URL redirected to a non-jobs “what we do” page that returned HTTP 403; no supported board was established.
77	BlueJeans	https://www.bluejeans.com/careers	https://www.bluejeans.com/careers	000	dead					BlueJeans careers host failed DNS resolution; brand was acquired by Verizon and no distinct live supported board was found.
78	blueorigin	https://www.blueorigin.com/careers	https://www.blueorigin.com/careers	429	validated_supported	workday	"{""host"":""blueorigin.wd5.myworkdayjobs.com"",""tenant"":""blueorigin"",""site"":""BlueOrigin""}"	https://blueorigin.wd5.myworkdayjobs.com/wday/cxs/blueorigin/BlueOrigin/jobs	1284	Current Blue Origin job URLs use this exact Workday tenant/site; POST returned valid JSON and total=1284.
79	Bluestacks	https://www.bluestacks.com/work-at-bluestacks.html	https://www.bluestacks.com/work-at-bluestacks.html	200	unsupported					BlueStacks uses a custom first-party careers site; no supported ATS API identity was found.
80	BMC software	https://www.bmc.com/careers/careers.html	https://www.bmc.com/careers/careers.html	200	unsupported					BMC uses an unsupported custom/Avature-style careers stack; no supported ATS API identity was found.
81	BNY Mellon	https://jobs.bnymellon.com/	https://bnymellon.eightfold.ai/careers	404	unsupported					Supplied BNY Mellon link resolves to an Eightfold careers URL (currently 404); Eightfold is unsupported.
82	Boeing	https://jobs.boeing.com/	https://jobs.boeing.com/	200	validated_supported	workday	"{""host"":""boeing.wd1.myworkdayjobs.com"",""tenant"":""boeing"",""site"":""EXTERNAL_CAREERS""}"	https://boeing.wd1.myworkdayjobs.com/wday/cxs/boeing/EXTERNAL_CAREERS/jobs	1084	Boeing careers linked this exact Workday board; POST returned valid JSON and total=1084.
83	Booking.com	https://jobs.booking.com/careers	https://jobs.booking.com/booking/jobs	200	unsupported					Booking.com uses its proprietary jobs platform; no supported ATS identity was present.
84	Bosch	https://www.bosch.in/careers/	https://www.bosch.in/careers/	200	validated_supported	smartrecruiters	"{""company_id"":""BoschGroup""}"	https://api.smartrecruiters.com/v1/companies/BoschGroup/postings?limit=100	4737	Bosch jobs site linked careers.smartrecruiters.com/BoschGroup; exact API returned valid JSON and totalFound=4737.
85	Bottemline Technologies	https://www.bottomline.com/apac/about/careers	https://www.bottomline.com/about/careers	200	unsupported					Bottomline uses a custom first-party careers site; no supported ATS public API identity was found.
86	Bounce	https://careers-bounce.peoplestrong.com/portal/job/joblist	https://careers-bounce.peoplestrong.com/portal/job/joblist	403	unsupported					Bounce uses PeopleStrong, which jobwatch does not support.
87	Box	https://www.box.com/en-in/careers	https://www.box.com/en-in/careers	403	validated_supported	greenhouse	"{""board_token"":""boxinc""}"	https://boards-api.greenhouse.io/v1/boards/boxinc/jobs?content=true	140	Exact current Box Greenhouse board/API returned valid JSON with 140 jobs.
88	Brahmastra Aerospace	https://www.brahmastraspace.org/career	https://brahmastra.ltd/career	404	dead					Brahmastra careers redirect target returned HTTP 404; no replacement supported ATS identity was found.
89	Browser stack	https://www.browserstack.com/careers	https://www.browserstack.com/careers	200	validated_supported	workday	"{""host"":""browserstack.wd3.myworkdayjobs.com"",""tenant"":""browserstack"",""site"":""External""}"	https://browserstack.wd3.myworkdayjobs.com/wday/cxs/browserstack/External/jobs	35	BrowserStack careers linked this exact Workday board; POST returned valid JSON and total=35.
90	Broadcom	https://www.broadcom.com/company/careers	https://www.broadcom.com/company/careers	200	validated_supported	workday	"{""host"":""broadcom.wd1.myworkdayjobs.com"",""tenant"":""broadcom"",""site"":""External_Career""}"	https://broadcom.wd1.myworkdayjobs.com/wday/cxs/broadcom/External_Career/jobs	337	Current Broadcom job URLs use this exact Workday tenant/site; POST returned valid JSON and total=337.
91	BukuWarung	https://www.notion.so/BukuWarung-Building-the-digital-infrastructure-for-60-million-MSMEs-in-Indonesia-7e8a4f614acb4c4888659f9d36179579	https://app.notion.com/p/BukuWarung-Building-the-digital-infrastructure-for-60-million-MSMEs-in-Indonesia-7e8a4f614acb4c4888659f9d36179579?__dm_a=1	200	unsupported					BukuWarung publishes careers on Notion, not a supported ATS.
92	ByteDance	https://jobs.bytedance.com/en	https://joinbytedance.com/	200	unsupported					ByteDance uses its proprietary careers platform; no supported ATS identity was present.
93	Cadence	https://www.cadence.com/en_US/home/company/careers.html	https://www.cadence.com/en_US/home/company/careers.html	403	validated_supported	workday	"{""host"":""cadence.wd1.myworkdayjobs.com"",""tenant"":""cadence"",""site"":""External_Careers""}"	https://cadence.wd1.myworkdayjobs.com/wday/cxs/cadence/External_Careers/jobs	587	Current Cadence job URLs use this exact Workday tenant/site; POST returned valid JSON and total=587.
94	Capillary	https://www.capillarytech.com/about-us/careers/	https://www.capillarytech.com/about-us/careers/	403	manual_review					Capillary careers endpoint returned HTTP 403 and no exact supported ATS API identity could be validated.
95	Capital One	https://www.capitalonecareers.com/	https://www.capitalonecareers.com/	200	validated_supported	workday	"{""host"":""capitalone.wd12.myworkdayjobs.com"",""tenant"":""capitalone"",""site"":""Capital_One""}"	https://capitalone.wd12.myworkdayjobs.com/wday/cxs/capitalone/Capital_One/jobs	1656	Capital One careers linked this exact Workday board; POST returned valid JSON and total=1656.
96	CarDekho	https://careers.cardekho.com/	https://careers.cardekho.com/	200	unsupported					CarDekho uses Darwinbox, which jobwatch does not support.
97	Careem	https://www.careem.com/en-ae/careers/	https://www.careem.com/en-ae/careers/	404	dead					Supplied Careem careers page returned HTTP 404; no validated supported ATS replacement was found.
98	CarWale	https://www.carwale.com/career/	https://www.carwale.com/career/	200	unsupported					CarWale uses a custom first-party careers site; no supported ATS API identity was found.
99	Cashfree	https://www.cashfree.com/careers	https://www.cashfree.com/careers	200	unsupported					Cashfree uses a custom first-party careers flow; no supported ATS API identity was found.
100	Cimpress	https://cimpress.com/careers/	https://cimpress.com/careers/	200	unsupported					Cimpress uses RippleHire, which jobwatch does not support.
101	Celigo	https://www.celigo.com/company/careers/	https://www.celigo.com/careers/	200	validated_supported	greenhouse	"{""board_token"":""celigo""}"	https://boards-api.greenhouse.io/v1/boards/celigo/jobs?content=true	27	Celigo careers embeds Greenhouse with for=celigo; exact API returned valid JSON with 27 jobs.
102	Citi Bank	https://jobs.citi.com/	https://jobs.citi.com/	200	validated_supported	workday	"{""host"":""citi.wd5.myworkdayjobs.com"",""tenant"":""citi"",""site"":""2""}"	https://citi.wd5.myworkdayjobs.com/wday/cxs/citi/2/jobs	2000	Citi first-party careers linked this Workday userHome and the exact POST API returned valid JSON with total=2000; the current search UI also uses Eightfold.
103	Cerner	https://careers.cerner.com/	https://www.oracle.com/careers/	200	unsupported					Cerner redirects to Oracle careers after acquisition; Oracle Recruiting is not supported.
104	Chargebee	https://careers.chargebee.com/jobs/	https://jobs.chargebee.com:443/	200	unsupported					Chargebee uses SAP SuccessFactors, which jobwatch does not support.
105	Checkout.com	https://www.checkout.com/careers#jobs	https://www.checkout.com/careers#jobs	200	validated_supported	ashby	"{""board_name"":""checkout.com""}"	https://api.ashbyhq.com/posting-api/job-board/checkout.com	195	Checkout.com first-party jobs payload returned Ashby job URLs with this identity; exact API returned valid JSON with 195 jobs.
106	Chronus	https://chronus.com/about-us/careers	https://chronus.com/about-us/careers	200	unsupported					Chronus has a static first-party careers page with no supported ATS/API identity.
107	Cisco	https://jobs.cisco.com/	https://careers.cisco.com/global/en	200	unsupported					Cisco uses an unsupported custom/Phenom careers stack; no supported ATS API identity was found.
108	Citadel	https://www.citadel.com/careers/open-positions/	https://www.citadel.com/careers/open-positions/	403	unsupported					Citadel uses its own first-party careers platform; no supported ATS identity was present.
109	Citadel Securities	https://www.citadelsecurities.com/careers/open-roles/	https://www.citadelsecurities.com/careers/open-roles/	403	unsupported					Citadel Securities uses its own first-party careers platform; no supported ATS identity was present.
110	Citrix	https://jobs.citrix.com/	https://jobs.citrix.com/	000	manual_review					Citrix careers endpoint failed TLS hostname validation; Citrix is under Cloud Software Group and no distinct supported board identity was established.
111	Classplus	https://www.linkedin.com/jobs/classplus-jobs/?originalSubdomain=in	https://www.linkedin.com/jobs/classplus-jobs/?originalSubdomain=in	200	unsupported					Supplied Classplus URL is a LinkedIn jobs page, not a supported ATS board.
112	ClearGlass	https://clearglass.com/careers/	https://careers.smartrecruiters.com/ClearGlassAnalyticsLimited	200	validated_supported	smartrecruiters	"{""company_id"":""ClearGlassAnalyticsLimited""}"	https://api.smartrecruiters.com/v1/companies/ClearGlassAnalyticsLimited/postings?limit=100	0	Supplied URL resolves to the exact ClearGlass SmartRecruiters company page; API returned valid JSON and totalFound=0.
113	Cleartrip	https://careers.cleartrip.com/#!/	https://careers.cleartrip.com/#!/	200	unsupported					Cleartrip uses TurboHire, which jobwatch does not support.
114	Cloudera	https://www.cloudera.com/careers.html	https://www.cloudera.com/careers.html	200	validated_supported	workday	"{""host"":""cloudera.wd5.myworkdayjobs.com"",""tenant"":""cloudera"",""site"":""External_Career""}"	https://cloudera.wd5.myworkdayjobs.com/wday/cxs/cloudera/External_Career/jobs	81	Cloudera careers linked this exact Workday board; POST returned valid JSON and total=81.
115	cloudflare	https://www.cloudflare.com/careers/jobs/	https://www.cloudflare.com/careers/jobs/	200	validated_supported	greenhouse	"{""board_token"":""cloudflare""}"	https://boards-api.greenhouse.io/v1/boards/cloudflare/jobs?content=true	268	Exact current Cloudflare Greenhouse board/API returned valid JSON with 268 jobs.
116	Codenation innovation labs	http://codenation.co.in/hiringprocess.html	https://innovations.trilogy.com/hiringprocess.html	404	dead					Codenation career URL redirected to a Trilogy Innovations HTTP 404; no validated board was found.
117	CodeParva Technologies Pvt Ltd	https://cutshort.io/company/codeparva-technologies-pvt-ltd-t0cDhxZW	https://cutshort.io/company/codeparva-technologies-pvt-ltd-t0cDhxZW	200	unsupported					Supplied CodeParva URL resolves to Cutshort, which jobwatch does not support.
118	CodingNinjas	https://www.linkedin.com/jobs/coding-ninjas-jobs/?originalSubdomain=in	https://www.linkedin.com/jobs/coding-ninjas-jobs/?originalSubdomain=in	200	unsupported					Supplied CodingNinjas URL resolves to LinkedIn, not a supported ATS board.
119	Cognizant	https://careers.cognizant.com/in/en	https://careers.cognizant.com/in/en	403	unsupported					Cognizant uses Phenom, which jobwatch does not support.
120	CoinBase	https://www.coinbase.com/careers	https://www.coinbase.com/careers	403	validated_supported	greenhouse	"{""board_token"":""coinbase""}"	https://boards-api.greenhouse.io/v1/boards/coinbase/jobs?content=true	143	Exact current Coinbase Greenhouse board/API returned valid JSON with 143 jobs.
121	CoinDCX	https://careers.coindcx.com/	https://careers.coindcx.com/	403	manual_review					CoinDCX careers endpoint returned HTTP 403 and no exact supported ATS API identity could be validated.
122	Coinswitch kuber	https://recruiterflow.com/coinswitch/jobs	https://recruiterflow.com/coinswitch/jobs	200	unsupported					CoinSwitch uses Recruiterflow, which jobwatch does not support.
123	Commvault	https://careers.commvault.com/	https://www.commvault.com/	200	validated_supported	greenhouse	"{""board_token"":""commvault""}"	https://boards-api.greenhouse.io/v1/boards/commvault/jobs?content=true	87	Current Commvault Greenhouse board/API returned valid JSON with 87 jobs; supplied careers URL redirects to the company homepage.
