ordinal	original_name	original_url	final_url	http_status	disposition	source	params_json	api_url	job_count	evidence_or_error
29	ShareChat	https://sharechat.com/careers	https://sharechat.mynexthire.com/employer/careers	200	validated_supported	mynexthire	"{""host"":""sharechat.mynexthire.com""}"	https://sharechat.mynexthire.com/employer/careers/reqlist/get	4	ShareChat’s first-party careers flow identifies this MyNextHire tenant; its anonymous request returned four open requisitions with full descriptions.
30	Texas Instruments	https://careers.ti.com/search-jobs/	https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX	200	validated_supported	oraclece	"{""host"":""edbz.fa.us2.oraclecloud.com"",""site"":""CX""}"	https://edbz.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions	515	Texas Instruments’ first-party careers flow identifies Oracle Candidate Experience site CX; its anonymous list returned 515 jobs and detail records.
31	Texas Instruments				duplicate					Duplicate of ordinal 30: the same Texas Instruments company entry with no separate career target.
32	Commvault Systems Pvt LTD	https://careers.commvault.com/us/en	https://job-boards.greenhouse.io/commvault	200	duplicate	greenhouse	"{""board_token"":""commvault""}"	https://boards-api.greenhouse.io/v1/boards/commvault/jobs?content=true	87	Commvault’s exact Greenhouse identity was already configured; this row is recorded without importing the board twice.
33	Linkedin	https://www.linkedin.com/jobs/linkedin-jobs-worldwide?f_C=2587638%2C39939%2C9202023%2C1337&trk=top-card_top-card-primary-button-top-card-primary-cta&position=1&pageNum=0	https://careers.linkedin.com/	200	manual_review					LinkedIn’s first-party careers site routes its Jobs action back into LinkedIn Jobs. The anonymous search reported 243 results, but offsets 0–290 produced only 105 unique IDs with repeated pages, changing results, and empty nonterminal gaps; individual details work, but no trustworthy list-completion contract exists, so importing it would risk silent truncation.
34	Blinkit (Grofers)	https://blinkit.com/careers/jobs	https://blinkit.com/careers/jobs	403	manual_review					The supplied Blinkit jobs page denied automated access (HTTP 403), and no exact supported ATS identity could be established independently; manual review required.
35	Apollo247				dead					No career target is supplied for this row, and no current supported public board could be verified.
36	Apollo247				duplicate					Exact duplicate of ordinal 35: the same Apollo247 entry with no career target.
37	Pocketpills (Casahealth Tech Pvt Ltd)	https://pocketpills.bamboohr.com/careers	https://pocketpills.bamboohr.com/careers	200	manual_review	bamboohr	"{""company_slug"":""pocketpills""}"	https://pocketpills.bamboohr.com/careers/list	0	PocketPills BambooHR metadata identifies the company, but the public list returned zero postings; retained for manual review rather than configuring an empty board.
38	nurture.farm	https://nurture.skillate.com/	https://careers.upl-ltd.com/nurture_farm/go/nurture_farm/7865410/	200	manual_review					nurture.farm’s current first-party Join Us page still hands off to the supplied Skillate board, but that board timed out in both anonymous HTTP and browser checks. Parent UPL’s official branded nurture.farm category independently reports no matching openings; the visible UPL convenience jobs are not nurture roles, so this remains an empty-board manual recheck.
39	Razorpay	https://razorpay.com/jobs/jobs-all/?location=all&department=	https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited	200	duplicate	greenhouse	"{""board_token"":""razorpaysoftwareprivatelimited""}"	https://boards-api.greenhouse.io/v1/boards/razorpaysoftwareprivatelimited/jobs?content=true	22	Razorpay’s exact Greenhouse identity was already configured; this row is recorded without importing the board twice.
40	Morgan Stanley	https://www.morganstanley.com/careers/career-opportunities-search	https://morganstanley.eightfold.ai/careers?domain=morganstanley.com	200	validated_supported	eightfold	"{""host"":""morganstanley.eightfold.ai"",""domain"":""morganstanley.com"",""location"":""India""}"	https://morganstanley.eightfold.ai/api/pcsx/search?domain=morganstanley.com	102	Morgan Stanley’s first-party careers flow exposes this Eightfold host/domain; its anonymous search returned 102 India-scoped jobs and complete detail records.
41	Zynga	https://www.zynga.com/jobs/job-openings/	https://job-boards.greenhouse.io/zyngacareers	200	validated_supported	greenhouse	"{""board_token"":""zyngacareers""}"	https://boards-api.greenhouse.io/v1/boards/zyngacareers/jobs?content=true	50	Zynga’s current board self-identifies as Zynga Careers; the exact Greenhouse API returned HTTP 200 with 50 open jobs.
42	Hella Infra Market Private Limited	https://imcareers.peoplestrong.com/job/joblist	https://hr1.to//56f9dd	200	manual_review	hrone	"{""domain_code"":""infra"",""api_key"":""6YxX23eqtwshPSTFPNk3Qz4X0QMCf5-mK6fQ_QAngIkmAcIzyOhH5dvf9QeMs5kOjj8B0kRCcRqvItav2wUneDVvWgs0k8r5u9PYicIIiwBRAxsXiN630qpSKsvn8yVa"",""request_type"":""UVozgs-AUV1ILPLBxDlf7A"",""company_code"":""wsfN2dASB51O-xE0FRHd_g""}"	https://app.hrone.cloud/api/external/referral/CareerPosition/Details	0	Infra.Market’s current first-party careers page links this active, identity-matched HROne tenant. Its anonymous list returned a coherent empty array at multiple page sizes; the reusable HROne adapter fits the published coordinates, but no current role exists to validate this tenant’s detail/apply contract, so the empty board is retained for manual review rather than configured.
43	Cure.fit	https://www.cult.fit/careers	https://careers.cult.fit/	200	validated_supported	zwayam	"{""domain"":""careers.cult.fit"",""company_id"":""15470""}"	https://public.zwayam.com/jobs/search	131	Cult.fit’s current first-party careers page is backed by Zwayam. The anonymous multipart search returned all 131 unique jobs across 14 complete pages, and all 131 JSON detail responses were live-validated with open status and full descriptions.
44	JUSPAY	https://juspay.in/careers	https://joinus.juspay.in/	200	validated_supported	juspay	{}	https://joinus.juspay.in/api/careerJobOpening?limit=1000&isGlobal=true	2	JUSPAY’s first-party careers application exposes this anonymous endpoint; it returned two active global openings with stable IDs and full descriptions.
45	Providence				duplicate					Duplicate of ordinal 46: the same Providence company entry, with no separate career target.
46	Providence	https://www.providence.in/careers.html	https://careers.providence.in/	200	validated_supported	successfactors	"{""host"":""careers.providence.in""}"	https://careers.providence.in/search/	108	Providence India’s first-party careers flow links this SuccessFactors board; its complete paginated search returned 108 jobs and public detail pages.
47	Human Holdings				dead					No career target is supplied for this row, and no current supported public board could be verified.
48	Walmart Global Tech India	https://careers.walmart.com/results?q=&page=1&sort=rank&expand=department,brand,type,rate&jobCareerArea=0000015e-b97d-d143-af5e-bd7da8ca0000	https://careers.walmart.com/in/en/jobs/	200	validated_supported	walmart	{}	https://careers.walmart.com/api/ai/search-ai/api/v1/combined/hybrid-search	231	Walmart's first-party anonymous search applied both brand=Walmart and country=IN filters; its complete response currently normalized 231 unique external India jobs with full descriptions and stable requisition IDs.
49	Human Holdings				duplicate					Exact duplicate of ordinal 47: the same Human Holdings entry with no career target.
50	Gullak Money				dead					No career target is supplied for this row, and no current supported public board could be verified.
51	OfBusiness	https://careers.ofbusiness.com/	https://www.ofbcareers.com/categories	200	validated_supported	ofbusiness	{}	https://www.ofbcareers.com/categories	65	OfBusiness’s current first-party Wix careers collection declared 72 records across 18 pages. Jobwatch ignored the one exact, structurally blank CMS shell and reconciled six shadow records whose shared detail routes currently resolve to another collection record, leaving 65 complete actionable postings with stable UUIDs and full descriptions.
52	CISCO	https://jobs.cisco.com/jobs/SearchJobs/?source=Cisco+Jobs+Career+Site&tags=CDC+Browse+all+jobs+careers	https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers	200	validated_supported	workday	"{""host"":""cisco.wd5.myworkdayjobs.com"",""tenant"":""cisco"",""site"":""Cisco_Careers"",""max_postings"":2000}"	https://cisco.wd5.myworkdayjobs.com/wday/cxs/cisco/Cisco_Careers/jobs	1057	Cisco’s current first-party careers flow resolves to this exact Workday tenant/site; its list API returned 1,057 open jobs.
53	CISCO				duplicate					Duplicate of ordinal 52: the same Cisco company entry with no separate career target.
54	SAP Labs	https://jobs.sap.com/	https://jobs.sap.com/	200	validated_supported	successfactors	"{""host"":""jobs.sap.com""}"	https://jobs.sap.com/search/	828	SAP’s first-party SuccessFactors board returned all 828 current jobs through its anonymous paginated search and public detail pages.
55	Flexcar IDC				dead					No career target is supplied for this row, and no current supported public board could be verified.
56	Sembly				dead					No career target is supplied for this row, and no current supported public board could be verified.
57	Wellsfargo	https://wd1.myworkdaysite.com/recruiting/wf/WellsFargoJobs	https://wd1.myworkdaysite.com/en-US/recruiting/wf/WellsFargoJobs	200	validated_supported	workday	"{""host"":""wd1.myworkdaysite.com"",""tenant"":""wf"",""site"":""WellsFargoJobs""}"	https://wd1.myworkdaysite.com/wday/cxs/wf/WellsFargoJobs/jobs	1814	The supplied Wells Fargo Workday identity is exact; the list API returned HTTP 200 with 1,814 open jobs.
58	Steradian Semiconductors Pvt Ltd	https://jobs.renesas.com/search/?createNewAlert=false&q=&locationsearch=&optionsFacetsDD_country=&optionsFacetsDD_customfield1=&optionsFacetsDD_customfield3=	https://careers.smartrecruiters.com/RenesasElectronics	200	validated_supported	smartrecruiters	"{""company_id"":""RenesasElectronics""}"	https://api.smartrecruiters.com/v1/companies/RenesasElectronics/postings?limit=100&offset=0	883	The supplied Steradian row points to Renesas’s first-party careers site after acquisition; current jobs expose the identity-matched RenesasElectronics SmartRecruiters board, whose API returned 883 open jobs.
59	Slice	https://careers.smartrecruiters.com/slice1	https://careers.kula.ai/slice	200	validated_supported	kula	"{""account_name"":""slice""}"	https://careers.kula.ai/api/internal/ats_job_posts?accountName=slice&type=ats_job_post.index&items=99&page=1	39	Slice’s current first-party careers flow identifies Kula account slice; its complete anonymous response returned 39 active jobs with stable IDs and full descriptions. The supplied SmartRecruiters board is stale.
60	Silicon labs	https://silabs.wd1.myworkdayjobs.com/SiliconlabsCareers	https://silabs.wd1.myworkdayjobs.com/en-US/SiliconlabsCareers	200	validated_supported	workday	"{""host"":""silabs.wd1.myworkdayjobs.com"",""tenant"":""silabs"",""site"":""SiliconlabsCareers""}"	https://silabs.wd1.myworkdayjobs.com/wday/cxs/silabs/SiliconlabsCareers/jobs	43	The supplied Silicon Labs Workday tenant/site is exact; the list API returned HTTP 200 with 43 open jobs.
61	BYJU'S	https://byjus.com/careers-at-byjus/#join-our-team	https://byjus.com/careers-at-byjus/#join-our-team	200	dead					The careers landing page still renders, but 13 of its 15 department actions are broken or redirect to unrelated educational pages. The remaining sales application is a static page last modified in 2021 rather than a current complete board, so no actionable company-wide posting set was verified.
62	Cashfree	https://www.cashfree.com/careers/	https://careers.kula.ai/cashfree	200	validated_supported	kula	"{""account_name"":""cashfree""}"	https://careers.kula.ai/api/internal/ats_job_posts?accountName=cashfree&type=ats_job_post.index&items=99&page=1	48	Cashfree’s first-party careers flow identifies Kula account cashfree; its complete anonymous response returned 48 active jobs with stable IDs and full descriptions.
63	Goldman Sachs	https://www.goldmansachs.com/careers/	https://higher.gs.com/	200	validated_supported	highergs	{}	https://api-higher.gs.com/gateway/api/v1/graphql	1156	Goldman Sachs’ first-party Higher site uses this anonymous GraphQL boundary; paged GetRoles returned 1,156 roles and GetRoleById returned complete descriptions.
64	Harness	https://jobs.lever.co/harness	https://job-boards.greenhouse.io/harnessinc	200	validated_supported	greenhouse	"{""board_token"":""harnessinc""}"	https://boards-api.greenhouse.io/v1/boards/harnessinc/jobs?content=true	95	Harness’s current first-party careers page loads the harnessinc Greenhouse board; its API returned HTTP 200 with 95 open jobs. The supplied Lever board is stale.
65	Komprise India Private	https://www.linkedin.com/company/komprise	https://www.komprise.com/company/careers/	200	validated_supported	komprise	{}	https://www.komprise.com/job_listing-sitemap.xml	7	Komprise’s current first-party WordPress job sitemap exposed seven active role pages with stable slugs and full descriptions; the supplied LinkedIn company page was not used as the data source.
66	Maxlinear Technologies	https://www.maxlinear.com/company/careers	https://www.maxlinear.com/company/careers	200	validated_supported	multiple	"[{""source"":""icims"",""host"":""careersus-maxlinear.icims.com""},{""source"":""icims"",""host"":""careersintl-maxlinear.icims.com""}]"	"[""https://careersus-maxlinear.icims.com/jobs/search?pr=0&in_iframe=1"",""https://careersintl-maxlinear.icims.com/jobs/search?pr=0&in_iframe=1""]"	70	MaxLinear’s first-party careers page links two identity-distinct iCIMS boards; their complete anonymous searches returned 28 US and 42 international jobs with public details.
67	JP MORGAN CHASE	https://www.jpmorganchase.com/institute/about/careers	https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001	200	validated_supported	oraclece	"{""host"":""jpmc.fa.oraclecloud.com"",""site"":""CX_1001"",""location"":""India""}"	https://jpmc.fa.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions	492	JPMorgan Chase’s current careers flow identifies Oracle Candidate Experience site CX_1001; its India-scoped anonymous list returned 492 unique jobs and complete requisition details.
68	CHARGEBEE	https://jobs.chargebee.com/?_gl=11x55y0u_gcl_au*NjY1NzA4NDUyLjE2ODUzNDI0Mjg	https://jobs.chargebee.com/	200	validated_supported	successfactors	"{""host"":""jobs.chargebee.com""}"	https://jobs.chargebee.com/search/	1	Chargebee’s first-party SuccessFactors board returned one current opening and a complete public detail page.
69	HyperVerge	https://apply.workable.com/hyperverge/?lng=en#jobs	https://hyperverge.co/careers/	200	manual_review	hyperverge	{}	https://hyperverge.co/careers/	12	HyperVerge’s first-party page currently exposes 12 unique role cards: nine LinkedIn targets report closed, one LinkedIn role remains anonymously actionable, and two roles share a sign-in-only Google Form whose descriptions cannot be hydrated. The company-specific adapter therefore fails explicitly instead of returning an incomplete snapshot; the board remains unconfigured pending a complete anonymous contract.
70	JUSPAY	https://juspay.in/careers	https://juspay.in/careers		duplicate					Exact duplicate of ordinal 44: the same JUSPAY name and career URL.
71	Samsung Semiconductor India Research	https://sec.wd3.myworkdayjobs.com/Samsung_Careers	https://sec.wd3.myworkdayjobs.com/en-US/Samsung_Careers	200	validated_supported	workday	"{""host"":""sec.wd3.myworkdayjobs.com"",""tenant"":""sec"",""site"":""Samsung_Careers""}"	https://sec.wd3.myworkdayjobs.com/wday/cxs/sec/Samsung_Careers/jobs	606	The supplied Workday identity is exact; its group-wide API returned HTTP 200 with 606 jobs across Samsung Electronics entities, including Samsung Semiconductor India Research.
72	Schlumberger	https://careers.slb.com/job-listing	https://careers.slb.com/job-listing	200	validated_supported	slb	{}	https://platform.cloud.coveo.com/rest/search/v2	71	SLB’s first-party page embeds an anonymous Coveo organization, token, search hub, and source; the India-scoped search returned 71 jobs and SLB detail pages returned full descriptions.
73	Udaan	https://udaan.darwinbox.in/ms/candidate/careers	https://udaan.darwinbox.in/ms/candidatev2/main/careers/home	200	dead					Udaan’s Darwinbox company configuration explicitly sets recruitment_enabled=false. Its 21 residual API records were posted from July 2022 through January 2023, so the disabled tenant is authoritative and those historical rows are not imported as current openings.
74	Nykaa	https://www.nykaafashion.com/lp/careers	https://careers.nykaa.com/	200	validated_supported	nykaa	{}	https://careers.nykaa.com/?page=1	22	Nykaa’s current first-party Skima-backed board reported 22 jobs across complete server-rendered pages; detail pages expose stable UUIDs and full descriptions.
75	CASA RETAIL AI	https://casaretail.ai/careers#openingsSection	https://casaretail.ai/careers#openingsSection	404	dead					The supplied CASA Retail AI careers page returned HTTP 404, and no current supported replacement board was verified.
76	Kaleyra	https://apply.workable.com/kaleyra/	https://kaleyra-talent.freshteam.com/jobs	200	validated_supported	freshteam	"{""company_slug"":""kaleyra-talent""}"	https://kaleyra-talent.freshteam.com/jobs	3	Kaleyra’s current first-party Freshteam board reported exactly three open jobs; all three schema.org detail pages were live-validated with stable opaque IDs, canonical URLs, posting dates, employment types, locations, and full descriptions. The supplied Workable board is stale.
77	FAREPORTAL	https://www.fareportal.com/careers/	https://www.fareportal.com/careers/	404	dead					The supplied Fareportal careers page returned HTTP 404, and no current supported replacement board was verified.
78	JUNGLEE GAMES	https://apply.workable.com/junglee-games/?lng=en	https://flutterbe.wd3.myworkdayjobs.com/en-US/Junglee_Games	200	validated_supported	workday	"{""host"":""flutterbe.wd3.myworkdayjobs.com"",""tenant"":""flutterbe"",""site"":""Junglee_Games""}"	https://flutterbe.wd3.myworkdayjobs.com/wday/cxs/flutterbe/Junglee_Games/jobs	2	Junglee Games’ first-party careers page links this Workday tenant/site; its API returned HTTP 200 with 2 open jobs. The supplied Workable board is now empty.
79	Komprise India Private	https://www.linkedin.com/company/komprise	https://www.linkedin.com/company/komprise		duplicate					Exact duplicate of ordinal 65: the same Komprise name and LinkedIn URL.
80	LetsTransport	https://hire.auzmor.com/letstransport/careers	https://hire.auzmor.com/letstransport/careers	200	validated_supported	auzmor	"{""domain"":""letstransport""}"	https://hire.api.auzmor.com/api/v1/careers/letstransport/groupByDepartment?limit=10000&offset=0	24	LetsTransport’s anonymous Auzmor API returned all five department groups and 24 OPEN, PUBLISHED external jobs; all 24 detail responses were live-validated with stable UUIDs and full descriptions.
81	Richpanel	https://richpanel.applytojob.com/apply	https://www.richpanel.com/careers	200	validated_supported	richpanel	{}	https://www.richpanel.com/careers	3	Richpanel’s current first-party careers page exposes three stable role URLs and complete detail pages; the supplied JazzHR URL is stale.
82	Siemens EDA	https://jobs.sw.siemens.com/	https://jobs.sw.siemens.com/	200	validated_supported	siemensjobs	{}	https://prod-search-api.jobsyn.org/api/v1/solr/search?businessStructures=electronic-design-automation-eda&num_items=10&page=1	244	Siemens EDA’s first-party Jobsyn search returned 244 complete paginated posting-location records with stable GUIDs and embedded descriptions.
83	SquadStack	https://www.squadstack.com/careers	https://squadrun.keka.com/careers/	200	validated_supported	keka	"{""host"":""squadrun.keka.com"",""portal"":""default"",""identifier"":""c750f148-70b8-4a21-868e-f891a1b2d818""}"	https://squadrun.keka.com/careers/api/embedjobs/default/active/c750f148-70b8-4a21-868e-f891a1b2d818	14	SquadStack’s first-party careers flow exposes this Keka tenant, portal, and embed identifier; the anonymous endpoint returned 14 jobs with full descriptions.
84	Oyo	http://oyorooms.careersitemanager.com/	http://oyorooms.careersitemanager.com/	000	dead					The supplied Oyo careers host no longer resolves, and no current supported replacement board was verified.
85	Atlan	https://atlan.com/careers/#job-list	https://jobs.ashbyhq.com/atlan	200	duplicate	ashby	"{""board_name"":""atlan""}"	https://api.ashbyhq.com/posting-api/job-board/atlan	4	Atlan’s exact Ashby identity was already configured; this row is recorded without importing the board twice.
86	VMware	https://careers.vmware.com/careers-home/jobs	https://careers.vmware.com/careers-home/jobs	000	dead					The supplied VMware careers host is defunct after acquisition, and no exact current supported replacement board was verified.
